TEST NAME, POINTS,OUT OF,NOTES
sf_memsuite_grading/free_bad_requested_size,1,1,
sf_memsuite_grading/free_null,0,1,0 assertion(s) failed.: None
sf_memsuite_grading/free_prev_alloc,0,1,1 assertion(s) failed.: tests/correctness_tests.c:554: SIGABRT should have been received
sf_memsuite_grading/initialization,1,1,
sf_memsuite_grading/malloc_free_coalesce_both,1,1,
sf_memsuite_grading/malloc_free_coalesce_lower,1,1,
sf_memsuite_grading/malloc_free_coalesce_upper,1,1,
sf_memsuite_grading/malloc_free_first_block,1,1,
sf_memsuite_grading/malloc_free_last_block,1,1,
sf_memsuite_grading/malloc_free_lifo,1,1,
sf_memsuite_grading/malloc_free_no_coalesce,1,1,
sf_memsuite_grading/malloc_to_exhaustion,1,1,
sf_memsuite_grading/malloc_with_splinter,1,1,
sf_memsuite_grading/quick_list_flush,1,1,
sf_memsuite_grading/quick_list_lifo,1,1,
sf_memsuite_grading/quick_list_malloc_free0,1,1,
sf_memsuite_grading/quick_list_malloc_free1,1,1,
sf_memsuite_grading/quick_list_malloc_free2,1,1,
sf_memsuite_grading/realloc_larger,1,1,
sf_memsuite_grading/realloc_same,1,1,
sf_memsuite_grading/realloc_size_0,1,1,
sf_memsuite_grading/realloc_smaller,1,1,
sf_memsuite_grading/realloc_splinter,1,1,
sf_memsuite_grading/single_malloc_1,1,1,
sf_memsuite_grading/single_malloc_12000,1,1,
sf_memsuite_grading/single_malloc_16,1,1,
sf_memsuite_grading/single_malloc_16384,1,1,
sf_memsuite_grading/single_malloc_32,1,1,
sf_memsuite_grading/single_malloc_4,1,1,
sf_memsuite_grading/single_malloc_4040,1,1,
sf_memsuite_grading/single_malloc_4041,1,1,
sf_memsuite_grading/single_malloc_8,1,1,
sf_memsuite_grading/stress_test,0,1,
sf_memsuite_student/free_coalesce,1,1,
sf_memsuite_student/free_no_coalesce,1,1,
sf_memsuite_student/free_quick,1,1,
sf_memsuite_student/freelist,1,1,
sf_memsuite_student/malloc_an_Integer_check_freelist,1,1,
sf_memsuite_student/malloc_over_four_pages,1,1,
sf_memsuite_student/malloc_three_pages,1,1,
sf_memsuite_student/realloc_larger_block,1,1,
sf_memsuite_student/realloc_smaller_block_free_block,1,1,
sf_memsuite_student/realloc_smaller_block_splinter,1,1,
total,40,43
